地区,新增,累计,治愈,死亡
台湾,6914,47100,13742,856
上海,1931,39643,15836,43
香港,119,310353,68412,9212
吉林,63,39707,34907,5
黑龙江,34,2794,2476,13
江西,33,1162,1073,1
浙江,21,2968,2391,1
青海,10,85,47,0
江苏,7,2163,2076,0
云南,7,2112,2070,2
广东,6,6961,6672,8
福建,6,2996,2894,1
陕西,3,3276,3246,3
河南,3,2866,2820,22
湖南,3,1349,1329,4
山西,3,411,346,0
海南,3,288,203,6
四川,2,1997,1948,3
广西,2,1568,1502,2
河北,1,1988,1964,7
北京,1,1846,1790,9
湖北,0,68396,63880,4512
山东,0,2671,2583,7
天津,0,1800,1796,3
内蒙古,0,1694,1684,1
辽宁,0,1613,1596,2
安徽,0,1060,1045,6
新疆,0,999,996,3
重庆,0,694,687,6
甘肃,0,681,679,2
贵州,0,179,176,2
宁夏,0,122,122,0
澳门,0,82,82,0
西藏,0,1,1,0
